product_id,product_name,category,price
1,Product_1,Fashion,857
2,Product_2,Electronics,1971
3,Product_3,Electronics,781
4,Product_4,Electronics,2488
5,Product_5,Electronics,2967
6,Product_6,Grocery,3224
7,Product_7,Grocery,3145
8,Product_8,Grocery,317
9,Product_9,Electronics,688
10,Product_10,Electronics,3937
11,Product_11,Fashion,887
12,Product_12,Electronics,1627
13,Product_13,Electronics,4882
14,Product_14,Grocery,1871
15,Product_15,Fashion,3527
16,Product_16,Electronics,1738
17,Product_17,Grocery,3266
18,Product_18,Electronics,3616
19,Product_19,Electronics,3768
20,Product_20,Grocery,2532
21,Product_21,Electronics,3366
22,Product_22,Electronics,2955
23,Product_23,Fashion,3781
24,Product_24,Grocery,4476
25,Product_25,Electronics,3443
26,Product_26,Electronics,4498
27,Product_27,Grocery,1244
28,Product_28,Electronics,908
29,Product_29,Electronics,3322
30,Product_30,Electronics,2962
31,Product_31,Grocery,722
32,Product_32,Fashion,3136
33,Product_33,Grocery,1186
34,Product_34,Fashion,868
35,Product_35,Grocery,4852
36,Product_36,Fashion,3710
37,Product_37,Fashion,1189
38,Product_38,Grocery,2231
39,Product_39,Grocery,3672
40,Product_40,Grocery,443
41,Product_41,Fashion,2515
42,Product_42,Fashion,3817
43,Product_43,Grocery,4141
44,Product_44,Fashion,4170
45,Product_45,Electronics,4723
46,Product_46,Electronics,1371
47,Product_47,Grocery,3222
48,Product_48,Grocery,2684
49,Product_49,Electronics,1018
50,Product_50,Electronics,688
51,Product_51,Fashion,1921
52,Product_52,Grocery,1797
53,Product_53,Electronics,3979
54,Product_54,Fashion,4867
55,Product_55,Electronics,736
56,Product_56,Electronics,4557
57,Product_57,Fashion,4898
58,Product_58,Electronics,2892
59,Product_59,Grocery,3146
60,Product_60,Grocery,1144
61,Product_61,Grocery,637
62,Product_62,Fashion,3313
63,Product_63,Fashion,1880
64,Product_64,Grocery,3758
65,Product_65,Fashion,475
66,Product_66,Grocery,4270
67,Product_67,Electronics,3479
68,Product_68,Fashion,632
69,Product_69,Grocery,3188
70,Product_70,Electronics,3217
71,Product_71,Grocery,1756
72,Product_72,Electronics,697
73,Product_73,Electronics,904
74,Product_74,Grocery,1799
75,Product_75,Grocery,1970
76,Product_76,Fashion,2005
77,Product_77,Grocery,854
78,Product_78,Electronics,1117
79,Product_79,Grocery,2848
80,Product_80,Grocery,4188
81,Product_81,Electronics,4642
82,Product_82,Grocery,4045
83,Product_83,Fashion,813
84,Product_84,Electronics,851
85,Product_85,Electronics,1249
86,Product_86,Grocery,1366
87,Product_87,Electronics,558
88,Product_88,Fashion,964
89,Product_89,Grocery,810
90,Product_90,Grocery,2698
91,Product_91,Fashion,250
92,Product_92,Grocery,3112
93,Product_93,Electronics,1715
94,Product_94,Fashion,1199
95,Product_95,Grocery,3820
96,Product_96,Grocery,1516
97,Product_97,Electronics,4938
98,Product_98,Grocery,813
99,Product_99,Grocery,2518
100,Product_100,Electronics,1083
101,Product_101,Grocery,3522
102,Product_102,Fashion,652
103,Product_103,Grocery,1367
104,Product_104,Grocery,3326
105,Product_105,Fashion,4009
106,Product_106,Grocery,3148
107,Product_107,Electronics,3133
108,Product_108,Fashion,3463
109,Product_109,Grocery,285
110,Product_110,Fashion,1365
111,Product_111,Fashion,4273
112,Product_112,Grocery,4988
113,Product_113,Grocery,317
114,Product_114,Electronics,1564
115,Product_115,Grocery,2432
116,Product_116,Grocery,4880
117,Product_117,Electronics,3272
118,Product_118,Electronics,2989
119,Product_119,Grocery,1036
120,Product_120,Electronics,3141
121,Product_121,Electronics,4038
122,Product_122,Grocery,3571
123,Product_123,Electronics,4764
124,Product_124,Electronics,2192
125,Product_125,Electronics,3188
126,Product_126,Fashion,4996
127,Product_127,Electronics,3459
128,Product_128,Electronics,1209
129,Product_129,Fashion,2435
130,Product_130,Grocery,1524
131,Product_131,Fashion,672
132,Product_132,Grocery,4952
133,Product_133,Electronics,3751
134,Product_134,Grocery,2925
135,Product_135,Fashion,209
136,Product_136,Fashion,3589
137,Product_137,Electronics,4349
138,Product_138,Grocery,1683
139,Product_139,Grocery,4198
140,Product_140,Grocery,4166
141,Product_141,Fashion,2475
142,Product_142,Fashion,1676
143,Product_143,Grocery,2558
144,Product_144,Grocery,2905
145,Product_145,Grocery,4927
146,Product_146,Grocery,2566
147,Product_147,Electronics,776
148,Product_148,Grocery,651
149,Product_149,Fashion,3990
150,Product_150,Electronics,1952
151,Product_151,Fashion,2354
152,Product_152,Electronics,1861
153,Product_153,Electronics,4844
154,Product_154,Fashion,3178
155,Product_155,Grocery,3794
156,Product_156,Fashion,347
157,Product_157,Grocery,3577
158,Product_158,Electronics,3459
159,Product_159,Grocery,2659
160,Product_160,Electronics,1936
161,Product_161,Fashion,1419
162,Product_162,Electronics,540
163,Product_163,Electronics,2543
164,Product_164,Grocery,2906
165,Product_165,Electronics,3060
166,Product_166,Electronics,1511
167,Product_167,Electronics,2307
168,Product_168,Grocery,3984
169,Product_169,Grocery,2496
170,Product_170,Electronics,2982
171,Product_171,Electronics,1800
172,Product_172,Fashion,1184
173,Product_173,Electronics,2499
174,Product_174,Electronics,1930
175,Product_175,Electronics,2125
176,Product_176,Fashion,1719
177,Product_177,Electronics,660
178,Product_178,Electronics,4453
179,Product_179,Electronics,1278
180,Product_180,Fashion,2496
181,Product_181,Electronics,3140
182,Product_182,Grocery,465
183,Product_183,Grocery,3277
184,Product_184,Fashion,4506
185,Product_185,Fashion,4557
186,Product_186,Grocery,2613
187,Product_187,Electronics,2664
188,Product_188,Fashion,2409
189,Product_189,Fashion,4842
190,Product_190,Fashion,1539
191,Product_191,Grocery,3546
192,Product_192,Grocery,4007
193,Product_193,Grocery,3409
194,Product_194,Fashion,3411
195,Product_195,Fashion,1525
196,Product_196,Fashion,491
197,Product_197,Grocery,3042
198,Product_198,Electronics,4195
199,Product_199,Fashion,3787
200,Product_200,Electronics,1799
