user_id,age,city,joined_date
1,60,Pune,2025-05-03 23:17:51.051957
2,35,Delhi,2023-12-22 23:17:51.051977
3,29,Pune,2024-02-17 23:17:51.051984
4,25,Mumbai,2025-10-20 23:17:51.051989
5,35,Delhi,2024-07-06 23:17:51.051994
6,19,Bangalore,2025-05-26 23:17:51.051997
7,19,Delhi,2025-02-26 23:17:51.052001
8,42,Delhi,2023-09-17 23:17:51.052005
9,53,Mumbai,2024-12-10 23:17:51.052008
10,56,Mumbai,2025-05-24 23:17:51.052012
11,45,Delhi,2024-05-12 23:17:51.052015
12,40,Bangalore,2024-07-06 23:17:51.052018
13,32,Pune,2023-09-19 23:17:51.052022
14,23,Delhi,2025-04-10 23:17:51.052024
15,29,Pune,2025-01-27 23:17:51.052028
16,37,Bangalore,2024-03-28 23:17:51.052031
17,28,Mumbai,2025-11-22 23:17:51.052033
18,49,Bangalore,2023-10-05 23:17:51.052037
19,19,Pune,2023-07-09 23:17:51.052040
20,45,Delhi,2024-04-27 23:17:51.052043
21,40,Pune,2025-06-06 23:17:51.052046
22,40,Pune,2023-10-20 23:17:51.052049
23,45,Bangalore,2023-12-31 23:17:51.052052
24,39,Mumbai,2024-05-04 23:17:51.052055
25,56,Pune,2024-03-18 23:17:51.052058
26,58,Mumbai,2025-08-04 23:17:51.052061
27,55,Bangalore,2025-12-06 23:17:51.052064
28,20,Pune,2024-02-20 23:17:51.052071
29,42,Mumbai,2024-07-06 23:17:51.052073
30,20,Delhi,2025-09-05 23:17:51.052077
31,43,Pune,2023-12-18 23:17:51.052080
32,27,Mumbai,2024-10-01 23:17:51.052083
33,32,Delhi,2024-08-02 23:17:51.052085
34,46,Delhi,2025-06-06 23:17:51.052088
35,47,Bangalore,2025-10-10 23:17:51.052091
36,59,Pune,2023-06-29 23:17:51.052094
37,27,Bangalore,2024-12-29 23:17:51.052097
38,21,Mumbai,2025-05-31 23:17:51.052100
39,44,Bangalore,2025-03-15 23:17:51.052103
40,41,Mumbai,2024-09-18 23:17:51.052106
41,38,Bangalore,2024-04-04 23:17:51.052109
42,39,Mumbai,2023-06-19 23:17:51.052112
43,27,Mumbai,2024-01-14 23:17:51.052115
44,20,Pune,2024-08-05 23:17:51.052118
45,45,Bangalore,2023-07-03 23:17:51.052121
46,44,Delhi,2025-08-01 23:17:51.052124
47,41,Mumbai,2025-04-23 23:17:51.052127
48,57,Bangalore,2025-10-22 23:17:51.052130
49,29,Mumbai,2024-06-20 23:17:51.052132
50,59,Mumbai,2025-08-23 23:17:51.052135
51,24,Mumbai,2025-12-10 23:17:51.052138
52,18,Mumbai,2025-12-09 23:17:51.052141
53,44,Delhi,2025-05-17 23:17:51.052144
54,21,Delhi,2023-08-12 23:17:51.052150
55,21,Mumbai,2024-11-13 23:17:51.052153
56,41,Bangalore,2025-08-31 23:17:51.052155
57,31,Mumbai,2023-12-13 23:17:51.052158
58,42,Delhi,2024-12-28 23:17:51.052161
59,32,Bangalore,2024-10-06 23:17:51.052163
60,50,Bangalore,2023-09-26 23:17:51.052168
61,45,Mumbai,2025-02-17 23:17:51.052172
62,43,Bangalore,2024-10-09 23:17:51.052175
63,53,Pune,2025-09-28 23:17:51.052178
64,30,Mumbai,2025-05-23 23:17:51.052181
65,25,Mumbai,2024-02-13 23:17:51.052183
66,46,Mumbai,2023-09-27 23:17:51.052187
67,57,Bangalore,2024-08-30 23:17:51.052190
68,59,Pune,2025-11-21 23:17:51.052193
69,59,Pune,2023-11-06 23:17:51.052196
70,58,Pune,2023-08-13 23:17:51.052198
